,Labels,Predict
0,2,2
1,4,4
2,0,0
3,4,4
4,0,0
5,3,3
6,5,5
7,5,5
8,0,0
9,1,1
10,2,2
11,1,1
12,1,1
13,1,1
14,4,4
15,4,4
16,5,5
17,1,1
18,1,1
19,3,3
20,1,1
21,4,4
22,3,3
23,0,0
24,4,4
25,4,4
26,3,3
27,2,2
28,5,5
29,1,1
30,1,1
31,3,3
32,4,4
33,0,0
34,5,1
35,0,0
36,3,3
37,5,5
38,5,3
39,3,3
40,1,1
41,4,4
42,1,1
43,4,4
44,5,5
45,3,5
46,0,0
47,1,1
48,4,4
49,3,3
50,1,1
51,5,5
52,5,1
53,4,4
54,0,0
55,3,3
56,3,3
57,4,4
58,0,0
59,3,3
60,4,4
61,4,4
62,1,1
63,3,4
64,5,5
65,4,4
66,3,3
67,5,5
68,2,2
69,0,0
70,0,0
71,0,0
72,5,5
73,4,4
74,5,1
75,2,2
76,1,1
77,2,2
78,4,4
79,3,3
80,5,5
81,2,2
82,2,2
83,1,1
84,4,4
85,2,2
86,4,4
87,4,4
88,1,1
89,4,4
90,1,1
91,3,3
92,1,1
93,5,1
94,2,2
95,2,2
96,2,2
97,0,0
98,5,5
99,4,4
100,2,2
101,2,2
102,3,3
103,4,4
104,5,5
105,0,0
106,2,3
107,3,3
108,0,0
109,4,4
110,2,2
111,5,5
112,1,1
113,5,4
114,1,1
115,5,5
116,4,4
117,3,3
118,0,0
119,1,1
120,5,5
121,3,3
122,2,2
123,3,5
124,4,4
125,5,5
126,5,5
127,3,3
128,1,1
129,3,3
130,0,0
131,1,1
132,5,5
133,5,5
134,4,4
135,0,0
136,5,5
137,5,4
138,3,3
139,1,1
140,2,2
141,0,0
142,1,1
143,4,4
144,2,2
145,0,0
146,4,4
147,0,0
148,0,0
149,1,1
150,4,4
151,5,5
152,0,0
153,0,0
154,1,2
155,4,4
156,4,4
157,0,0
158,0,0
159,0,0
160,2,2
161,0,0
162,2,2
163,5,5
164,5,5
165,2,2
166,2,2
167,3,3
168,4,4
169,2,2
170,5,1
171,4,4
172,3,3
173,0,0
174,1,1
175,1,1
176,1,1
177,2,2
178,2,2
179,4,4
180,1,1
181,0,0
182,2,2
183,0,1
184,2,2
185,0,0
186,5,5
187,2,2
188,5,1
189,0,0
190,4,4
191,5,5
192,1,1
193,1,1
194,5,5
195,1,1
196,3,3
197,2,2
198,3,3
199,0,5
200,4,5
201,0,0
202,4,4
203,2,2
204,0,0
205,1,1
206,5,5
207,3,3
208,0,0
209,3,3
210,1,1
211,3,3
212,1,1
213,5,5
214,2,2
215,0,0
216,3,3
217,2,2
218,3,3
219,2,2
220,3,3
221,0,0
222,4,4
223,3,3
224,3,3
225,5,5
226,4,4
227,1,1
228,3,3
229,1,1
230,3,3
231,1,1
232,2,2
233,1,1
234,5,5
235,1,1
236,4,4
237,5,4
238,2,2
239,5,3
240,5,5
241,2,2
242,2,2
243,1,1
244,0,0
245,4,4
246,0,0
247,2,4
248,1,1
249,2,2
250,1,1
251,2,2
252,2,2
253,4,4
254,3,3
255,0,0
256,0,0
257,4,4
258,1,1
259,4,4
260,1,1
261,5,4
262,3,3
263,0,0
264,4,4
265,4,4
266,3,3
267,3,3
268,5,5
269,4,4
270,5,5
271,4,4
272,4,4
273,0,0
274,3,3
275,2,2
276,3,3
277,5,5
278,2,2
279,5,5
280,2,2
281,1,1
282,5,5
283,5,5
284,4,4
285,1,1
286,5,4
287,4,4
288,4,4
289,5,5
290,4,4
291,3,3
292,1,1
293,0,0
294,0,0
295,4,4
296,0,0
297,4,4
298,0,0
299,2,2
300,3,3
301,3,3
302,2,2
303,2,2
304,3,3
305,1,1
306,3,3
307,4,4
308,1,1
309,3,3
310,0,0
311,2,2
312,2,2
313,3,3
314,2,2
315,5,5
316,4,4
317,2,2
318,0,0
319,3,3
320,2,2
321,0,0
322,2,2
323,5,5
324,4,4
325,3,3
326,0,0
327,1,1
328,3,3
329,2,2
330,3,3
331,5,5
332,5,5
333,2,2
334,5,5
335,1,1
336,5,5
337,4,4
338,0,0
339,0,0
340,5,5
341,5,5
342,2,2
343,0,0
344,2,2
345,2,2
346,1,1
347,4,4
348,1,1
349,2,2
350,1,1
351,3,3
352,4,4
353,1,1
354,0,0
355,2,2
356,4,4
357,3,3
358,0,0
359,2,2
360,0,0
361,4,4
362,4,4
363,5,5
364,5,5
365,5,5
366,1,1
367,3,3
368,1,0
369,1,1
370,0,0
371,0,0
372,0,0
373,1,1
374,2,1
375,3,3
376,5,5
377,3,3
378,2,2
379,1,1
380,2,2
381,1,1
382,2,2
383,2,2
384,1,1
385,2,2
386,4,4
387,4,0
388,3,5
389,1,1
390,3,3
391,5,5
392,1,1
393,1,1
394,3,3
395,0,0
396,2,2
397,4,4
398,5,5
399,1,1
400,5,5
401,5,5
402,4,4
403,3,3
404,2,2
405,1,1
406,0,0
407,4,4
408,4,4
409,2,2
410,2,2
411,2,2
412,5,5
413,0,0
414,5,5
415,0,0
416,4,4
417,3,3
418,4,4
419,0,0
420,4,4
421,0,0
422,4,4
423,0,0
424,3,3
425,5,5
426,5,5
427,1,1
428,2,2
429,2,2
430,2,2
431,5,5
432,0,0
433,3,3
434,1,1
435,4,4
436,0,0
437,5,5
438,4,4
439,4,4
440,5,5
441,1,1
442,1,1
443,0,0
444,5,5
445,1,1
446,0,2
447,4,4
448,1,1
449,5,5
450,1,1
451,3,3
452,5,5
453,3,3
454,3,3
455,4,4
456,0,0
457,0,0
458,5,5
459,2,2
460,5,5
461,1,1
462,1,1
463,4,4
464,0,0
465,2,2
466,3,3
467,4,4
468,2,2
469,1,1
470,4,4
471,5,5
472,0,0
473,1,1
474,3,3
475,0,0
476,3,3
477,3,3
478,3,3
479,4,4
480,0,0
481,2,2
482,0,0
483,5,5
484,0,0
485,4,4
486,0,0
487,5,5
488,2,2
489,3,3
490,0,0
491,4,4
492,5,4
493,5,5
494,0,0
495,1,1
496,3,3
497,0,0
498,0,0
499,4,4
500,4,4
501,3,3
502,1,0
503,3,3
504,3,3
505,3,3
506,0,0
507,2,2
508,2,2
509,2,2
510,3,3
511,1,1
512,2,2
513,5,5
514,0,0
515,2,2
516,5,5
517,0,0
518,4,4
519,2,2
520,5,5
521,4,4
522,5,5
523,0,0
524,2,2
525,3,3
526,3,3
527,0,0
528,1,1
529,4,4
530,3,3
531,1,1
532,3,3
533,1,1
534,4,4
535,5,5
536,3,3
537,4,4
538,3,3
539,3,3
540,5,5
541,2,2
542,2,2
543,4,4
544,0,0
545,3,3
546,5,5
547,2,2
548,1,1
549,4,4
550,4,4
551,0,0
552,1,1
553,1,1
554,3,3
555,0,0
556,2,2
557,5,5
558,3,3
559,2,2
560,0,0
561,3,3
562,0,0
563,2,2
564,4,4
565,0,1
566,0,0
567,3,3
568,2,2
569,5,5
570,3,3
571,1,1
572,5,5
573,2,2
574,5,5
575,1,1
576,1,1
577,5,4
578,4,4
579,5,1
580,2,2
581,3,3
582,1,1
583,0,0
584,0,0
585,1,1
586,1,1
587,3,3
588,3,3
589,1,1
590,3,3
591,4,4
592,5,5
593,5,3
594,2,2
595,2,2
596,1,1
597,2,2
598,3,3
599,1,1
